JobNumber,Customer,State,City,,,
4606580,Charter,TX,DALLAS,,,
4563995,Charter,SC,GAFFNEY,,,
4611898,Charter,SC,LIBERTY,,,
4545876,Charter,GA,SENOIA,,,
4662284,Charter,TN,TULLAHOMA,,,
4612717,Charter,TN,PALMER,,,
4488091,Charter,NC,LEICESTER,,,
4606646,Charter,TX,AUSTIN,,,
2698910,Charter,OH,MIAMISBURG,,,
4288592,Charter,TX,LAREDO,,,
4562517,Charter,TX,FRISCO,,,
4556877,Charter,TX,HIGHLAND VILLAGE,,,
3616331,Charter,TX,EDINBURG,,,
4616084,Charter,TX,EL PASO,,,
4617540,Charter,MO,WENTZVILLE,,,
4555515,Charter,ME,BAR HARBOR,,,
4294966,Charter,WI,WISCONSIN RAPIDS,,,
4618496,Charter,MI,PENTWATER,,,
4623510,Charter,SC,MURRELLS INLET,,,
4641680,Charter,NC,LOUISBURG,,,
4452095,Charter,WI,WISCONSIN RAPIDS,,,
4647933,Charter,NY,ROME,,,
4295601,Charter,NY,GOSHEN,,,
4126986,Charter,NY,SYRACUSE,,,
4650322,Charter,PA,GREENVILLE,,,
4546359,Charter,WI,MIDDLETON,,,
4597863,Charter,MI,HOWARD CITY,,,
4650055,Charter,NH,HOLLIS,,,
4648477,Charter,NY,WARRENSBURG,,,
4538230,Charter,NY,DELEVAN,,,
4690294,Charter,OH,MONCLOVA,,,
4632822,Charter,WY,GILLETTE,,,
4627641,Charter,SC,IVA,,,
4690194,Charter,NY,MALONE,,,
4618853,Charter,NC,GREENSBORO,,,
4571186,Charter,FL,CLEARWATER,,,
4663008,Charter,NY,MALONE,,,
4171093,Charter,TX,LAREDO,,,
4582288,Charter,TX,HARLINGEN,,,
4650196,Charter,NY,CICERO,,,
4542640,Charter,ME,BUXTON,,,
4660515,Charter,NY,GROTON,,,
4685875,Charter,ME,PITTSFIELD,,,
4052010,Charter,NY,SYRACUSE,,,
4440041,Charter,NY,ALBANY,,,
3868777,Charter,TX,MERCEDES,,,
4611692,Charter,MI,MEARS,,,
4576213,Charter,TX,LAREDO,,,
4538988,Charter,FL,FLORAL CITY,,,
3295497,Charter,ME,BEALS,,,
4671854,Charter,NY,ALBANY,,,
4580338,Charter,SC,FLORENCE,,,
4535391,Charter,MN,BRAINERD,,,
4662120,Charter,MI,PORTAGE,,,
4685279,Charter,NY,AMHERST,,,
3971734,Charter,NY,SHERMAN,,,
4687223,Charter,ME,CLINTON,,,
4480367,Charter,ME,BANGOR,,,
4280814,Charter,FL,SATELLITE BEACH,,,
1821938,Charter,NY,LIVERPOOL,,,
3303084,Charter,MI,CLIO,,,
4681547,Charter,NY,MIDDLETOWN,,,
4675302,Charter,TX,AUSTIN,,,
4649963,Charter,MI,KALAMAZOO,,,
3830334,Charter,ME,SABATTUS,,,
4690364,Charter,OH,NORTH CANTON,,,
4602153,Charter,LA,BUSH,,,
4396744,Charter,FL,RIVERVIEW,,,
4652239,Charter,MI,LINWOOD,,,
4695783,Charter,TX,EDINBURG,,,
4699293,Charter,NH,RUMNEY,,,
4676998,Charter,NY,WILLIAMSVILLE,,,
1719442,Charter,NH,RANDOLPH,,,
4670242,Charter,NC,ASHEVILLE,,,
4621832,Charter,NY,NORTHVILLE,,,
4175638,Charter,OH,HILLIARD,,,
4674827,Charter,NY,WEST STOCKHOLM,,,
4578452,Charter,NC,SWANNANOA,,,
4676593,Charter,NY,CORINTH,,,
4583593,Charter,NC,CLYDE,,,
4562321,Charter,CA,INDIO,,,
4599345,Charter,OH,GALION,,,
4621144,Charter,NC,WAYNESVILLE,,,
4659282,Charter,NC,MAGGIE VALLEY,,,
4636528,Charter,CT,THOMPSON,,,
4575074,Charter,SC,GREENVILLE,,,
4661794,Charter,LA,MAUREPAS,,,
4173770,Charter,OH,COLUMBUS,,,
4622167,Charter,TX,ARLINGTON,,,
4468859,Charter,CA,VALENCIA,,,
4624262,Charter,NC,CLYDE,,,
4572776,Charter,LA,TICKFAW,,,
4680187,Charter,NC,WAYNESVILLE,,,
2205111,Charter,TN,BUTLER,,,
3656069,Charter,NC,LEICESTER,,,
4665986,Charter,NC,MOORESVILLE,,,
4242616,Charter,GA,SMYRNA,,,
4626854,Charter,NC,WAYNESVILLE,,,
4556897,Charter,CA,SAN BERNARDINO,,,
4287247,Charter,OH,BUCYRUS,,,
4621968,Charter,VA,FRANKLIN,,,
4522477,Charter,CA,INDIO,,,
1532119,Charter,SC,FORT MILL,,,
3405041,Charter,SC,COLUMBIA,,,
4659877,Charter,NC,HENRICO,,,
4619252,Charter,NC,MONROE,,,
4613465,Charter,NC,CANTON,,,
2157562,Charter,VA,CARROLLTON,,,
4587243,Charter,NC,SHELBY,,,
3552763,Charter,KY,ARJAY,,,
4552845,Charter,SC,LAURENS,,,
4634681,Charter,NC,CHARLOTTE,,,
4563811,Charter,NC,CAMERON,,,
4597005,Charter,NC,BURNSVILLE,,,
4651207,Charter,NC,LEXINGTON,,,
4655854,Charter,NC,MOUNT PLEASANT,,,
4639011,Charter,NC,NEWLAND,,,
4537052,Charter,CA,HUNTINGTON BEACH,,,
4618503,Charter,NC,LILLINGTON,,,
4606428,Charter,NC,ALBEMARLE,,,
4498606,Charter,CA,INDIO,,,
4683834,Charter,SC,SUMMERVILLE,,,
4649238,Charter,NC,STANLEY,,,
4618795,Charter,NC,MONROE,,,
